;cole_naturaleza;cole_bilingue;cole_calendario;cole_jornada;fami_tieneautomovil;fami_estratovivienda;fami_tieneinternet;fami_tienecomputador;estu_edad_cat;desemp_ingles;avg_punt_global
20934;OFICIAL;N;A;MAÑANA;No;Estrato 3;No;Si;<= 25;A-;Medium
20935;OFICIAL;N;A;MAÑANA;No;Estrato 3;No;Si;<= 25;A2;Very High
20936;OFICIAL;N;A;MAÑANA;No;Estrato 3;No;Si;<= 25;B1;Very High
20937;OFICIAL;N;A;MAÑANA;No;Estrato 3;Si;No;<= 25;A-;Low
20938;OFICIAL;N;A;MAÑANA;No;Estrato 3;Si;No;<= 25;A1;Medium
20939;OFICIAL;N;A;MAÑANA;No;Estrato 3;Si;No;<= 25;A2;Medium
20940;OFICIAL;N;A;MAÑANA;No;Estrato 3;Si;Si;<= 25;A-;Low
20941;OFICIAL;N;A;MAÑANA;No;Estrato 3;Si;Si;<= 25;A1;Medium
20942;OFICIAL;N;A;MAÑANA;No;Estrato 3;Si;Si;<= 25;A2;High
20943;OFICIAL;N;A;MAÑANA;No;Estrato 4;Si;Si;<= 25;A-;Low
20944;OFICIAL;N;A;MAÑANA;No;Estrato 4;Si;Si;<= 25;A1;Medium
20945;OFICIAL;N;A;MAÑANA;No;Estrato 5 y 6;Si;Si;<= 25;A-;Low
20946;OFICIAL;N;A;MAÑANA;Si;Estrato 1 y 2;No;Si;<= 25;A-;Medium
20947;OFICIAL;N;A;MAÑANA;Si;Estrato 1 y 2;Si;No;<= 25;A-;Low
20948;OFICIAL;N;A;MAÑANA;Si;Estrato 1 y 2;Si;No;<= 25;A1;High
20949;OFICIAL;N;A;MAÑANA;Si;Estrato 1 y 2;Si;No;<= 25;A2;Very High
20950;OFICIAL;N;A;MAÑANA;Si;Estrato 1 y 2;Si;No;>= 26;A1;Low
20951;OFICIAL;N;A;MAÑANA;Si;Estrato 1 y 2;Si;Si;<= 25;A-;Medium
20952;OFICIAL;N;A;MAÑANA;Si;Estrato 1 y 2;Si;Si;<= 25;A1;Medium
20953;OFICIAL;N;A;MAÑANA;Si;Estrato 1 y 2;Si;Si;<= 25;A2;High
20954;OFICIAL;N;A;MAÑANA;Si;Estrato 1 y 2;Si;Si;<= 25;B+;Very High
20955;OFICIAL;N;A;MAÑANA;Si;Estrato 1 y 2;Si;Si;<= 25;B1;Very High
20956;OFICIAL;N;A;MAÑANA;Si;Estrato 3;Si;Si;<= 25;A-;Low
20957;OFICIAL;N;A;MAÑANA;Si;Estrato 3;Si;Si;<= 25;A1;High
20958;OFICIAL;N;A;MAÑANA;Si;Estrato 3;Si;Si;<= 25;A2;Very High
20959;OFICIAL;N;A;MAÑANA;Si;Estrato 3;Si;Si;<= 25;B1;Very High
20960;OFICIAL;N;A;MAÑANA;Si;Estrato 5 y 6;Si;Si;<= 25;A1;Medium
20961;OFICIAL;N;A;TARDE;No;Estrato 1 y 2;No;No;<= 25;A-;Low
20962;OFICIAL;N;A;TARDE;No;Estrato 1 y 2;No;No;<= 25;A1;Medium
20963;OFICIAL;N;A;TARDE;No;Estrato 1 y 2;No;No;<= 25;A2;High
20964;OFICIAL;N;A;TARDE;No;Estrato 1 y 2;No;Si;<= 25;A-;Medium
20965;OFICIAL;N;A;TARDE;No;Estrato 1 y 2;No;Si;<= 25;A1;Medium
20966;OFICIAL;N;A;TARDE;No;Estrato 1 y 2;No;Si;<= 25;A2;Medium
20967;OFICIAL;N;A;TARDE;No;Estrato 1 y 2;No;Si;<= 25;B+;Very High
20968;OFICIAL;N;A;TARDE;No;Estrato 1 y 2;Si;No;<= 25;A-;Low
20969;OFICIAL;N;A;TARDE;No;Estrato 1 y 2;Si;No;<= 25;A1;Medium
20970;OFICIAL;N;A;TARDE;No;Estrato 1 y 2;Si;No;<= 25;A2;High
20971;OFICIAL;N;A;TARDE;No;Estrato 1 y 2;Si;No;<= 25;B1;Very High
20972;OFICIAL;N;A;TARDE;No;Estrato 1 y 2;Si;Si;<= 25;A-;Medium
20973;OFICIAL;N;A;TARDE;No;Estrato 1 y 2;Si;Si;<= 25;A1;Medium
20974;OFICIAL;N;A;TARDE;No;Estrato 1 y 2;Si;Si;<= 25;A2;High
20975;OFICIAL;N;A;TARDE;No;Estrato 1 y 2;Si;Si;<= 25;B1;Very High
20976;OFICIAL;N;A;TARDE;No;Estrato 1 y 2;Si;Si;>= 26;A1;Medium
20977;OFICIAL;N;A;TARDE;No;Estrato 3;No;No;<= 25;A-;Low
20978;OFICIAL;N;A;TARDE;No;Estrato 3;Si;No;<= 25;A-;Low
20979;OFICIAL;N;A;TARDE;No;Estrato 3;Si;No;<= 25;A1;Low
20980;OFICIAL;N;A;TARDE;No;Estrato 3;Si;Si;<= 25;A-;Low
20981;OFICIAL;N;A;TARDE;No;Estrato 3;Si;Si;<= 25;A1;Medium
20982;OFICIAL;N;A;TARDE;No;Estrato 3;Si;Si;<= 25;A2;High
20983;OFICIAL;N;A;TARDE;No;Estrato 3;Si;Si;>= 26;A-;Low
20984;OFICIAL;N;A;TARDE;No;Estrato 4;Si;No;<= 25;A-;Low
20985;OFICIAL;N;A;TARDE;No;Estrato 5 y 6;Si;No;<= 25;A1;Medium
20986;OFICIAL;N;A;TARDE;No;Estrato 5 y 6;Si;Si;<= 25;A1;Medium
20987;OFICIAL;N;A;TARDE;No;Sin Estrato;No;No;<= 25;A-;Low
20988;OFICIAL;N;A;TARDE;Si;Estrato 1 y 2;No;No;<= 25;A-;Low
20989;OFICIAL;N;A;TARDE;Si;Estrato 1 y 2;No;No;<= 25;A2;Low
20990;OFICIAL;N;A;TARDE;Si;Estrato 1 y 2;No;Si;<= 25;A-;Medium
